ID,Chefe,Setor,Data,Data.,DataDevolu_x00e7__x00e3_o,DataDevolu_x00e7__x00e3_o.,MotivoVisita,Ve_x00ed_culo,Condutor,Escolas,Status,Coment_x00e1_rioGestor,E_x002d_mail,LocalExterno,ItemChildCount,FolderChildCount
45,,SEOM,25/05/2026 00:00,2026-05-25T03:00:00Z,25/05/2026 17:00,2026-05-25T20:00:00Z,"Vistoria BI Manutenção Predial; Plano de Ação URE ITV 2026/1",Veículo Utilitário,,,Aprovado,,itv.seom@educacao.sp.gov.br,,0,0
46,,SEOM,26/05/2026 00:00,2026-05-26T03:00:00Z,26/05/2026 17:00,2026-05-26T20:00:00Z,"Vistoria BI Manutenção Predial; Plano de Ação URE ITV 2026/1",Veículo Utilitário,,,Aprovado,,itv.seom@educacao.sp.gov.br,,0,0
47,,GABINETE,25/05/2026 12:30,2026-05-25T15:30:00Z,25/05/2026 17:00,2026-05-25T20:00:00Z,Acompanhamento em ATPCG,Veículo Pick-up,,,Aprovado,,itv@educacao.sp.gov.br,,0,0
48,,SEAFIN,22/05/2026 16:00,2026-05-22T19:00:00Z,22/05/2026 16:30,2026-05-22T19:30:00Z,Entrega de kit lanche,Veículo Utilitário,,,Aprovado,,itv.seafin@educacao.sp.gov.br,Empresa de transporte,0,0
49,,SEOM,27/05/2026 00:00,2026-05-27T03:00:00Z,27/05/2026 15:00,2026-05-27T18:00:00Z,"Reunião: gestão escolar estadual e municipal, secretário municipal de obras de Capão Bonito, e o SEOM da URE ITV. André irá realizar visita em Capão Bonito.",Veículo Pick-up,,,Aprovado,,itv.seom@educacao.sp.gov.br,,0,0
50,,GABINETE,09/06/2026 06:00,2026-06-09T09:00:00Z,09/06/2026 14:00,2026-06-09T17:00:00Z,Convocação CEC Jaqueline  /  Supervisora Edilene ,Veículo Utilitário,,,Aprovado,,itv@educacao.sp.gov.br,Itapetininga / Programa Alfabetiva Juntos ,0,0
51,,SEOM,28/05/2026 09:10,2026-05-28T12:10:00Z,28/05/2026 17:00,2026-05-28T20:00:00Z,Visita Técnica. Reunião com Secretário Municipal de Obras,Veículo Utilitário,,,Aprovado,,itv.seom@educacao.sp.gov.br,,0,0
52,,SEINTEC,29/05/2026 08:00,2026-05-29T11:00:00Z,29/05/2026 17:00,2026-05-29T20:00:00Z,Visita Seintec / Setec  as unidades escolares de Nova campina para Verificação de alguns equipamentos dessas unidades .,Veículo Utilitário,,,Aprovado,,itv.seintec@educacao.sp.gov.br,,0,0
53,,GABINETE,28/05/2026 13:00,2026-05-28T16:00:00Z,28/05/2026 17:00,2026-05-28T20:00:00Z,Visita na escola ,Veículo Pick-up,,,Aprovado,,itv@educacao.sp.gov.br,,0,0
54,,GABINETE,29/05/2026 13:00,2026-05-29T16:00:00Z,29/05/2026 16:30,2026-05-29T19:30:00Z,Visita na Escola Simpliciano Campolim  ,Veículo Pick-up,,,Aprovado,,itv@educacao.sp.gov.br,,0,0
55,,SEAFIN,29/05/2026 17:45,2026-05-29T20:45:00Z,29/05/2026 18:00,2026-05-29T21:00:00Z,Entrega de lanches ,Veículo Utilitário,,,Aprovado,,itv.seafin@educacao.sp.gov.br,Onix turismo,0,0
56,,SEPES,08/06/2026 07:00,2026-06-08T10:00:00Z,08/06/2026 19:00,2026-06-08T22:00:00Z,Reunião de trabalho/orientação técnica da COAPES – Coordenadoria de Administração de Pessoal da DIPES/SUCOR,Veículo Utilitário,,,Aprovado,,itv.sepes@educacao.sp.gov.br,"Hotel Majestic - Praça Dr. Vicente Rizzo, nº 160, Águas de Lindóia - CEP: 13940-000",0,0
57,,SEPES,12/06/2026 10:00,2026-06-12T13:00:00Z,12/06/2026 22:00,2026-06-13T01:00:00Z,Reunião de trabalho/orientação técnica da COAPES – Coordenadoria de Administração de Pessoal da DIPES/SUCOR,Veículo Utilitário,,,Aprovado,,itv.sepes@educacao.sp.gov.br,"Hotel Majestic - Praça Dr. Vicente Rizzo, nº 160, Águas de Lindóia - CEP: 13940-000",0,0
58,,GABINETE,01/06/2026 14:00,2026-06-01T17:00:00Z,01/06/2026 16:00,2026-06-01T19:00:00Z,Visita na Escola ,Veículo Pick-up,,,Aprovado,,itv@educacao.sp.gov.br,,0,0
59,,GABINETE,02/06/2026 13:00,2026-06-02T16:00:00Z,03/06/2026 10:00,2026-06-03T13:00:00Z,Revisão 90km ,Veículo Utilitário,,,Aprovado,,itv@educacao.sp.gov.br,GM-Chevrolet,0,0
60,,SEGRE,03/06/2026 11:20,2026-06-03T14:20:00Z,03/06/2026 11:40,2026-06-03T14:40:00Z,Abastecimento para levar os profissionais ao evento em Águas de Lindóia ,Veículo Utilitário,,,Aprovado,,itv.segre@educacao.sp.gov.br,Posto de gasolina ,0,0
62,,SEINTEC,09/06/2026 14:00,2026-06-09T17:00:00Z,09/06/2026 17:00,2026-06-09T20:00:00Z,Verificação para possivel alteração de local do DVR da unidade escolar a pedido da Direção da Mesma .,Veículo Utilitário,,,Aprovado,,itv.seintec@educacao.sp.gov.br,,0,0
63,,GABINETE,11/06/2026 10:30,2026-06-11T13:30:00Z,11/06/2026 22:30,2026-06-12T01:30:00Z,Evento -Dialogo com a Educação  / Secretario Renato Feder  / São Raque-SP /  Visita na escola Turvo dos Almeidas,Veículo Pick-up,,,Aprovado,,itv@educacao.sp.gov.br,Evento -Dialogo com a Educação  / Secretario Renato Feder  / São Raque-SP /  Visita na escola Turvo dos Almeidas,0,0
64,,SEINTEC,18/06/2026 14:18,2026-06-18T17:18:00Z,18/06/2026 17:00,2026-06-18T20:00:00Z,Verificação de internet da EE Silvério Monteiro unidade relata sem conexão.,Veículo Pick-up,,,Aprovado,,itv.seintec@educacao.sp.gov.br,,0,0
